"Notes","County","County Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Autauga County, AL","01001",2426,819138,296.165,336.740
,"Baldwin County, AL","01003",9506,2777974,342.192,277.976
,"Barbour County, AL","01005",1734,436438,397.307,358.010
,"Bibb County, AL","01007",1310,354074,369.979,370.422
,"Blount County, AL","01009",2995,887610,337.423,312.914
,"Bullock County, AL","01011",723,171585,421.366,359.990
,"Butler County, AL","01013",1774,327636,541.455,398.348
,"Calhoun County, AL","01015",7851,1819502,431.492,389.811
,"Chambers County, AL","01017",2637,551164,478.442,363.603
,"Cherokee County, AL","01019",1560,404170,385.976,308.211
,"Chilton County, AL","01021",2587,677347,381.931,367.149
,"Choctaw County, AL","01023",1142,225748,505.874,384.422
,"Clarke County, AL","01025",1609,413914,388.728,323.366
,"Clay County, AL","01027",1167,220887,528.324,395.459
,"Cleburne County, AL","01029",963,234432,410.780,351.872
,"Coffee County, AL","01031",2735,744332,367.444,321.756
,"Colbert County, AL","01033",3849,862136,446.449,348.115
,"Conecuh County, AL","01035",1005,210676,477.036,363.095
,"Coosa County, AL","01037",728,179915,404.636,327.465
,"Covington County, AL","01039",2907,593562,489.755,344.286
,"Crenshaw County, AL","01041",978,217861,448.910,337.961
,"Cullman County, AL","01043",5395,1262387,427.365,369.834
,"Dale County, AL","01045",2556,774226,330.136,323.120
,"Dallas County, AL","01047",3308,692317,477.816,434.774
,"DeKalb County, AL","01049",4404,1075520,409.476,379.984
,"Elmore County, AL","01051",3546,1207410,293.686,314.890
,"Escambia County, AL","01053",2309,583167,395.941,348.577
,"Etowah County, AL","01055",7703,1632584,471.829,385.595
,"Fayette County, AL","01057",1241,277679,446.919,338.779
,"Franklin County, AL","01059",2318,493172,470.019,412.956
,"Geneva County, AL","01061",1881,416746,451.354,342.089
,"Greene County, AL","01063",776,146594,529.353,414.831
,"Hale County, AL","01065",1128,256721,439.388,374.823
,"Henry County, AL","01067",1285,270087,475.773,346.747
,"Houston County, AL","01069",5553,1551024,358.022,320.285
,"Jackson County, AL","01071",3692,830502,444.550,378.964
,"Jefferson County, AL","01073",35762,10332135,346.124,307.978
,"Lamar County, AL","01075",1107,234196,472.681,352.022
,"Lauderdale County, AL","01077",5020,1439238,348.796,274.948
,"Lawrence County, AL","01079",2135,508979,419.467,387.057
,"Lee County, AL","01081",4378,2120056,206.504,285.374
,"Limestone County, AL","01083",3926,1246778,314.892,331.310
,"Lowndes County, AL","01085",829,186344,444.876,414.979
,"Macon County, AL","01087",1582,341533,463.206,407.583
,"Madison County, AL","01089",13055,4972114,262.564,270.435
,"Marengo County, AL","01091",1658,335522,494.155,388.429
,"Marion County, AL","01093",2428,485754,499.841,374.806
,"Marshall County, AL","01095",5972,1415273,421.968,379.871
,"Mobile County, AL","01097",22213,6333420,350.727,339.056
,"Monroe County, AL","01099",1423,363058,391.948,322.587
,"Montgomery County, AL","01101",10414,3530247,294.994,294.448
,"Morgan County, AL","01103",6669,1833800,363.671,339.697
,"Perry County, AL","01105",799,168955,472.907,385.972
,"Pickens County, AL","01107",1469,319960,459.120,362.316
,"Pike County, AL","01109",1889,498193,379.170,380.076
,"Randolph County, AL","01111",1677,359861,466.013,364.696
,"Russell County, AL","01113",2527,841153,300.421,300.218
,"St. Clair County, AL","01115",4085,1251337,326.451,336.573
,"Shelby County, AL","01117",5750,2896793,198.495,240.107
,"Sumter County, AL","01119",944,219780,429.520,347.836
,"Talladega County, AL","01121",5111,1293850,395.023,363.448
,"Tallapoosa County, AL","01123",2909,653530,445.121,343.075
,"Tuscaloosa County, AL","01125",8364,2951321,283.399,318.876
,"Walker County, AL","01127",5352,1069828,500.267,424.295
,"Washington County, AL","01129",1082,255555,423.392,373.418
,"Wilcox County, AL","01131",957,189693,504.499,434.639
,"Winston County, AL","01133",1611,386519,416.797,335.762
