"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Autauga County, AL","01001","2009","2009",151,53301,283.297,331.508
,"Autauga County, AL","01001","2010","2010",154,53700,286.778,325.246
,"Autauga County, AL","01001","2011","2011",160,54357,294.350,315.348
,"Autauga County, AL","01001","2012","2012",161,54081,297.702,327.507
,"Autauga County, AL","01001","2013","2013",172,53811,319.637,339.762
,"Autauga County, AL","01001","2014","2014",152,53987,281.549,280.781
,"Autauga County, AL","01001","2015","2015",151,54039,279.428,268.883
,"Autauga County, AL","01001","2016","2016",162,54366,297.980,288.811
,"Baldwin County, AL","01003","2009","2009",588,176352,333.424,275.773
,"Baldwin County, AL","01003","2010","2010",617,179127,344.448,280.236
,"Baldwin County, AL","01003","2011","2011",639,183373,348.470,282.737
,"Baldwin County, AL","01003","2012","2012",583,186902,311.928,244.280
,"Baldwin County, AL","01003","2013","2013",686,191455,358.309,276.649
,"Baldwin County, AL","01003","2014","2014",607,195851,309.929,238.062
,"Baldwin County, AL","01003","2015","2015",675,199570,338.227,255.233
,"Baldwin County, AL","01003","2016","2016",632,204144,309.585,227.788
,"Barbour County, AL","01005","2009","2009",120,27323,439.190,392.746
,"Barbour County, AL","01005","2010","2010",116,27123,427.681,390.617
,"Barbour County, AL","01005","2011","2011",127,26985,470.632,425.505
,"Barbour County, AL","01005","2012","2012",89,26800,332.090,292.690
,"Barbour County, AL","01005","2013","2013",113,26610,424.652,353.171
,"Barbour County, AL","01005","2014","2014",105,26437,397.171,329.292
,"Barbour County, AL","01005","2015","2015",111,25935,427.993,344.622
,"Barbour County, AL","01005","2016","2016",88,25622,343.455,272.505
,"Bibb County, AL","01007","2009","2009",68,22812,298.089,306.560
,"Bibb County, AL","01007","2010","2010",81,22783,355.528,370.210
,"Bibb County, AL","01007","2011","2011",93,22586,411.759,414.517
,"Bibb County, AL","01007","2012","2012",95,22489,422.429,424.078
,"Bibb County, AL","01007","2013","2013",74,22346,331.155,320.409
,"Bibb County, AL","01007","2014","2014",76,22352,340.014,307.527
,"Bibb County, AL","01007","2015","2015",85,22394,379.566,339.162
,"Bibb County, AL","01007","2016","2016",79,22477,351.470,304.626
,"Blount County, AL","01009","2009","2009",174,56781,306.441,284.631
,"Blount County, AL","01009","2010","2010",167,56738,294.335,283.188
